,Year,Month,State,Location,Food,Ingredient,Species,Serotype/Genotype,Status,Illnesses,Hospitalizations,Fatalities
1767,1999,May,Maryland,Catering Service; School/College/University,,,Norovirus genogroup I,,Confirmed,10,0.0,0.0
1769,1999,May,Maryland,Private Home/Residence,Pasta Salad,,,,,6,,
1773,1999,May,Michigan,,"Ground Beef, Sloppy Joe; Corn, Unspecified",,,,,21,,
1774,1999,May,Michigan,,,,,,,10,,
1775,1999,May,Michigan,,"Deli Meat, Sliced Ham",,,,,10,,
1776,1999,May,Michigan,Restaurant,,,,,,2,0.0,0.0
1777,1999,May,Michigan,Restaurant,,,,,,2,,
1778,1999,May,Michigan,Restaurant,,,,,,3,0.0,0.0
1779,1999,May,Michigan,Restaurant,"Pizza, Unspecified",,,,,2,0.0,0.0
1780,1999,May,Michigan,,,,,,,21,0.0,0.0
1781,1999,May,Michigan,Restaurant,"Nachos, Unspecified",,,,,3,,
1782,1999,May,Michigan,Restaurant,,,,,,6,0.0,0.0
1783,1999,May,Michigan,Restaurant,,,,,,7,0.0,0.0
1784,1999,May,Michigan,School/College/University,,,,,,21,0.0,0.0
1785,1999,May,Minnesota,Private Home/Residence,Rolls,,Norovirus genogroup I,,Suspected,12,0.0,0.0
1786,1999,May,Minnesota,Restaurant,,,Salmonella enterica,Heidelberg,Confirmed,3,2.0,0.0
1789,1999,May,Multistate,Restaurant; Private Home/Residence,"Ground Beef, Unspecified",Beef,"Escherichia coli, Shiga toxin-producing",O157:NM (H-),Confirmed,7,,
1790,1999,May,Multistate,Restaurant,"Ground Beef, Hamburger",Beef,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,9,,
1791,1999,May,Multistate,Restaurant,"Basil, Unspecified",Spices,Shigella sonnei,,Confirmed,10,,
1792,1999,May,Multistate,Private Home/Residence,,,Salmonella enterica,Enteritidis,Confirmed,2,0.0,0.0
1794,1999,May,Nebraska,Restaurant,"Fried Rice, Unspecified",Rice,Bacillus cereus,,Confirmed,4,0.0,0.0
1797,1999,May,New York,Hospital,"Chicken, Roasted",,,,,8,,
1798,1999,May,New York,Restaurant,Unspecified Fish,,Scombroid toxin,,Confirmed,4,0.0,0.0
1799,1999,May,North Carolina,,"Ground Beef, Unspecified",,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,2,,
1803,1999,May,Ohio,Restaurant,"Burrito, Unspecified; Fajita, Chicken",Chicken; Chicken,,,,2,0.0,0.0
1804,1999,May,Ohio,Restaurant,Mashed Potato/Gravy,,Bacillus cereus,,Confirmed,4,,0.0
1805,1999,May,Ohio,Restaurant,Crab Dishes,,Norovirus genogroup II,Unknown,Confirmed,16,0.0,0.0
1806,1999,May,Ohio,Restaurant; Private Home/Residence,,,Norovirus genogroup II,Unknown,Confirmed,21,0.0,0.0
1807,1999,May,Ohio,Private Home/Residence; Grocery Store,"Cake, Unspecified; Cookies, Unspecified",,Norovirus genogroup I,,Suspected,8,0.0,0.0
1808,1999,May,Ohio,Private Home/Residence,Fruit Salad,,Norovirus genogroup I,,Suspected,7,0.0,0.0
1809,1999,May,Ohio,,"Pizza, Unspecified",,Norovirus genogroup I,,Confirmed,7,,
1810,1999,May,Ohio,Restaurant,"Sandwich, Deli",,,,,12,4.0,0.0
1811,1999,May,Ohio,Restaurant,,,,,,3,0.0,0.0
1813,1999,May,Ohio,Private Home/Residence,,,,,,15,0.0,0.0
1816,1999,May,Pennsylvania,Private Home/Residence,Caesar Salad,,Salmonella enterica,Heidelberg,Confirmed,25,,
1817,1999,May,Pennsylvania,Restaurant; Grocery Store,,,,,,13,,
1818,1999,May,Pennsylvania,School/College/University,,,Norovirus genogroup I,,Suspected,21,,
1819,1999,May,Pennsylvania,Catering Service,,,Norovirus genogroup I,,Suspected,10,0.0,0.0
1822,1999,May,South Carolina,Restaurant,,,,,,17,,
1823,1999,May,Tennessee,Restaurant,,,Norovirus genogroup I,,Confirmed,4,0.0,0.0
1824,1999,May,Texas,,"Bbq, Unspecified",,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,10,,
1825,1999,May,Virginia,Restaurant,"Chicken, Other",,Salmonella enterica,Muenchen,Confirmed,22,,0.0
1828,1999,May,Virginia,Restaurant,Unspecified Fruit,,Salmonella enterica,Enteritidis,Confirmed,13,0.0,0.0
1829,1999,May,Washington,Restaurant,"Ethnic Style, Unspecified",,,,,2,0.0,
1830,1999,May,Washington,Restaurant,"Noodles, Unspecified; Chicken, Unspecified; Pork, Unspecified",,,,,2,,
1831,1999,May,Washington,Restaurant,Chow Mein; Pork Fried Rice,,,,,2,,
1832,1999,May,Washington,Restaurant,"Sandwich, Beef",,,,,4,0.0,
1834,1999,May,Wisconsin,Restaurant,"Melon, Unspecified; Watermelon; Pineapple, Unspecified",,Norovirus genogroup I,,Confirmed,23,1.0,0.0
1835,1999,May,Wisconsin,Catering Service,"Chicken, Unspecified; Gravy, Chicken",,Clostridium perfringens,,Confirmed,20,0.0,0.0
1836,1999,May,Wisconsin,Office/Indoor Workplace,,,Norovirus genogroup I,,Confirmed,9,0.0,0.0
1837,1999,June,Alabama,Grocery Store,,,,,,2,,
1838,1999,June,Alabama,Restaurant,"Whipped Cream, Unspecified",,,,,7,0.0,0.0
1839,1999,June,Alabama,Restaurant,"Frosting/Icing, Whipped Cream",,,,,7,1.0,0.0
1841,1999,June,Alabama,Restaurant,,,,,,2,0.0,0.0
1842,1999,June,California,Restaurant,"Sandwich, Unspecified",,Norovirus genogroup I,,Suspected,9,0.0,0.0
1843,1999,June,California,Restaurant,,,Shigella sonnei,,Confirmed,15,0.0,0.0
1845,1999,June,California,Restaurant,"Chicken, Other",,Norovirus genogroup I,,Suspected,8,0.0,0.0
1846,1999,June,California,Restaurant,,,Norovirus genogroup I,,Suspected,25,0.0,0.0
1847,1999,June,California,Private Home/Residence,"Meat, Unspecified",,Norovirus genogroup I,,Suspected,14,0.0,0.0
1848,1999,June,California,Catering Service,Potato Salad,,Virus,,Suspected,14,0.0,0.0
1849,1999,June,California,Restaurant,,,,,,5,0.0,0.0
1850,1999,June,California,Private Home/Residence,"Steak, Prime Rib",,,,,3,0.0,0.0
1851,1999,June,California,Restaurant,,,,,,13,0.0,0.0
1853,1999,June,California,,,,,,,21,2.0,0.0
1855,1999,June,California,Restaurant,,,Virus,,Suspected,14,0.0,0.0
1856,1999,June,California,Restaurant,Hollandaise Sauce,,Salmonella enterica,,Suspected,2,0.0,0.0
1857,1999,June,Colorado,Restaurant,"Pizza, Meat And Vegetable",Pork,Staphylococcus aureus,,Suspected,4,0.0,0.0
1858,1999,June,Colorado,Restaurant,"Burrito, Unspecified",Cheese,Staphylococcus aureus,,Suspected,8,0.0,0.0
1859,1999,June,Connecticut,Restaurant,,,Salmonella enterica,Miami,Confirmed,19,4.0,0.0
1860,1999,June,Florida,Restaurant,"Chicken, Other",,,,,5,,
1861,1999,June,Florida,Religious Facility,"Roast Beef, Unspecified",Beef,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,17,7.0,0.0
1862,1999,June,Florida,Restaurant,"Shrimp, Raw; Shrimp Dishes Unspecified; Shrimp Scampi",,Vibrio parahaemolyticus,,Suspected,2,0.0,0.0
1863,1999,June,Florida,Restaurant,"Soda, Unspecified; Pizza, Unspecified",,,,,2,,
1864,1999,June,Florida,Restaurant,,,,,,2,,
1866,1999,June,Florida,,"Fish, Codfish",,Vibrio other,,Suspected,2,,
1867,1999,June,Florida,Restaurant,"Soup, Clam Chowder",,,,,2,,
1868,1999,June,Florida,Restaurant,Mashed Potato/Gravy,,Clostridium perfringens,,Suspected,2,0.0,0.0
1869,1999,June,Florida,Restaurant,"Ground Beef, Hamburger",,,,,3,0.0,0.0
1870,1999,June,Florida,Restaurant,"Pizza, Unspecified",,,,,3,1.0,
1871,1999,June,Florida,Restaurant,"Chicken, Marsala",,,,,3,,
1872,1999,June,Florida,Restaurant,,,,,,3,,
1873,1999,June,Florida,Grocery Store,"Cake, Unspecified; Frosting/Icing, Whipped Cream",,,,,3,0.0,0.0
1874,1999,June,Florida,Restaurant,"Other Food; Shrimp, Unspecified",,Vibrio parahaemolyticus,,Suspected,2,0.0,0.0
1875,1999,June,Florida,Restaurant,"Nachos, Unspecified",,,,,3,0.0,0.0
1876,1999,June,Florida,Restaurant,"Pizza, Meat",,,,,2,0.0,0.0
1877,1999,June,Florida,Restaurant,"Pizza, Meat",,Staphylococcus aureus,,Suspected,3,1.0,0.0
1878,1999,June,Florida,Restaurant,"Sandwich, Cuban",,Staphylococcus aureus,,Suspected,2,0.0,0.0
1879,1999,June,Florida,,"Mashed Potato/Gravy; Chicken, Unspecified",,,,,2,0.0,0.0
1880,1999,June,Florida,Restaurant,"Sandwich, Unspecified",,Norovirus genogroup I,,Suspected,6,0.0,0.0
1882,1999,June,Georgia,Camp,"Ground Beef, Hamburger",Beef,,,,3,0.0,0.0
1883,1999,June,Hawaii,Restaurant,"Fish, Marlin, Unspecified",Fin Fish,Scombroid toxin,,Confirmed,2,0.0,0.0
1884,1999,June,Illinois,,,,Shigella sonnei,,Confirmed,7,2.0,0.0
1885,1999,June,Illinois,Restaurant,,,,,,3,0.0,0.0
1886,1999,June,Illinois,Restaurant,,,Shigella sonnei,,Confirmed,5,0.0,0.0
1887,1999,June,Illinois,Restaurant,,,,,,10,0.0,0.0
1891,1999,June,Maine,Restaurant,"Turkey, Unspecified",,,,,3,1.0,0.0
1892,1999,June,Maine,Restaurant,"Ravioli, Unspecified; Caesar Salad",,,,,4,0.0,0.0
1893,1999,June,Maryland,Restaurant,,,,,,4,,
1894,1999,June,Maryland,Restaurant,"Tuna, Unspecified",Fin Fish,Scombroid toxin,,Confirmed,2,0.0,0.0
1895,1999,June,Maryland,Restaurant,,,,,,3,,
1896,1999,June,Maryland,Restaurant,Crab Cakes,,,,,2,,
1898,1999,June,Maryland,Restaurant,,,,,,2,0.0,0.0
1899,1999,June,Maryland,Restaurant,"Nachos, Unspecified; Chicken, Unspecified",,,,,3,0.0,0.0
1900,1999,June,Maryland,Catering Service,"Eggs, Unspecified; Corned Beef, Unspecified",,,,,10,,
1901,1999,June,Maryland,Restaurant,Tuna Steak,,Scombroid toxin,,Suspected,2,2.0,0.0
1902,1999,June,Maryland,Restaurant,Crab Cakes,,,,,3,1.0,0.0
1903,1999,June,Maryland,Restaurant,"Green Beans, Unspecified",,,,,7,,
1904,1999,June,Maryland,Restaurant,,,,,,10,0.0,0.0
1905,1999,June,Maryland,Restaurant,"Sandwich, Beef",,Salmonella enterica,Montevideo,Confirmed,19,,0.0
1906,1999,June,Massachusetts,Restaurant,,,,,,22,,
1913,1999,June,Michigan,,"Chicken Salad; Cake, Unspecified",,,,,21,,
1914,1999,June,Michigan,,"Ground Beef, Meatballs",,,,,20,,
1915,1999,June,Michigan,,"Steak, Prime Rib",,,,,19,,
1916,1999,June,Michigan,,"Roast Beef, Unspecified",,,,,17,,
1917,1999,June,Michigan,,Bearnaise Sauce,,,,,13,,
1918,1999,June,Michigan,Restaurant,Chips And Salsa,,,,,3,,
1919,1999,June,Michigan,Restaurant,"Fish, Perch; French Fries",,,,,2,,
1920,1999,June,Michigan,Restaurant,"Sandwich, Submarine",,Norovirus genogroup I,,Suspected,25,0.0,0.0
1921,1999,June,Michigan,Restaurant,,,,,,3,0.0,0.0
1922,1999,June,Minnesota,Restaurant,,,Salmonella enterica,Montevideo,Confirmed,11,0.0,0.0
1924,1999,June,Minnesota,,"Ground Beef, Sloppy Joe",Beef,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,5,1.0,0.0
1925,1999,June,Minnesota,Restaurant,"Sandwich, Submarine",,Clostridium perfringens,,Suspected,5,0.0,0.0
1926,1999,June,Minnesota,Private Home/Residence; Grocery Store,"Broccoli, Unspecified; Potato Salad",,Norovirus genogroup I,,Suspected,25,1.0,0.0
1928,1999,June,Multistate,,,,Salmonella enterica,Enteritidis,Confirmed,2,0.0,0.0
1929,1999,June,New Jersey,Restaurant,,,Salmonella enterica,Unknown,Confirmed,4,1.0,0.0
1930,1999,June,New Jersey,Restaurant,,,Salmonella enterica,Unknown,Confirmed,2,0.0,0.0
1932,1999,June,New York,Restaurant,Yellowfin Tuna,,Scombroid toxin,,Suspected,3,,
1933,1999,June,New York,Restaurant,"Pudding, Rice; Cake, Tiramisu; Caesar Salad",Egg; Egg; Egg,Salmonella enterica,Enteritidis,Confirmed,5,,
1934,1999,June,New York,Restaurant,"Cake, Tiramisu",Egg,Salmonella enterica,Enteritidis,Confirmed,23,,
1935,1999,June,New York,Private Home/Residence,,,Salmonella enterica,Typhimurium,Confirmed,12,,
1937,1999,June,North Carolina,Restaurant,"Rice, Unspecified",,Bacillus cereus,,Confirmed,4,,
1938,1999,June,North Carolina,Restaurant,"Salad, Unspecified",,Norovirus genogroup I,,Suspected,18,,
1939,1999,June,Ohio,Private Home/Residence,"Corned Beef, Unspecified; Cake, Unspecified",,Norovirus genogroup I,,Confirmed,14,0.0,0.0
1940,1999,June,Ohio,Restaurant,,,Norovirus genogroup I,,Confirmed,7,0.0,0.0
1941,1999,June,Ohio,Camp,,,,,,20,0.0,0.0
1942,1999,June,Ohio,Restaurant,,,,,,2,0.0,0.0
1943,1999,June,Ohio,Private Home/Residence,"Chicken, Unspecified",,,,,2,0.0,0.0
1946,1999,June,Pennsylvania,Child Daycare,,,,,,23,,
1947,1999,June,Pennsylvania,Restaurant,,,,,,15,,
1948,1999,June,Pennsylvania,Hospital,,,Staphylococcus aureus,,Suspected,6,0.0,0.0
1949,1999,June,Pennsylvania,Private Home/Residence,,,Salmonella enterica,Typhimurium,Confirmed,4,2.0,0.0
1950,1999,June,Pennsylvania,Catering Service,,,,,,11,0.0,0.0
1951,1999,June,Tennessee,Private Home/Residence,,,Staphylococcus aureus,,Suspected,7,0.0,0.0
1954,1999,June,Virginia,Private Home/Residence; Grocery Store,,,,,,16,0.0,0.0
1955,1999,June,Washington,Grocery Store; Office/Indoor Workplace,Mixed Fruit,,Salmonella enterica,Javiana,Confirmed,11,4.0,0.0
1956,1999,June,Washington,Restaurant,,,,,,4,,
1957,1999,June,Washington,Private Home/Residence; Grocery Store,,,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,5,2.0,
1958,1999,June,Washington,Restaurant,"Chicken, Unspecified",,,,,17,0.0,
1959,1999,June,Washington,,"Turkey, Unspecified",,,,,16,,
1960,1999,June,Washington,Restaurant,"Beef, Unspecified; Chicken, Unspecified",,,,,3,0.0,
1961,1999,June,Washington,Restaurant,"Chicken, Unspecified",,Salmonella enterica,,Confirmed,2,0.0,
1962,1999,June,Washington,Private Home/Residence,"Other Milk, Unpasteurized",,Campylobacter unknown,,Confirmed,2,,
1963,1999,July,Alabama,Private Home/Residence,,,,,,6,0.0,0.0
1964,1999,July,Alabama,Restaurant,,,,,,3,0.0,0.0
1965,1999,July,Alabama,Restaurant,,,,,,2,0.0,0.0
1967,1999,July,Alabama,Restaurant,"Pizza, Meat",,,,,4,0.0,0.0
1969,1999,July,Alabama,,,,,,,2,0.0,0.0
1972,1999,July,California,Restaurant,"Oysters, Raw","Oysters, Raw",Vibrio parahaemolyticus,,Confirmed,4,0.0,0.0
1973,1999,July,California,Restaurant,"Mayonnaise, Homemade; Bun",,Salmonella enterica,Enteritidis,Confirmed,6,2.0,0.0
1974,1999,July,California,,"Salsa, Unspecified",,Staphylococcus aureus; Bacillus cereus,,Suspected; Suspected,13,0.0,0.0
1977,1999,July,Connecticut,Private Home/Residence,,,"Escherichia coli, Shiga toxin-producing",O157:NM (H-),Confirmed,17,7.0,0.0
1978,1999,July,Connecticut,Camp,,,Salmonella enterica,Typhimurium,Confirmed,12,1.0,0.0
1979,1999,July,Florida,Restaurant,Macaroni Salad,,Norovirus genogroup I,,Confirmed,18,0.0,0.0
1981,1999,July,Florida,Prison/Jail,"Bread, Unspecified",,Salmonella enterica; Norovirus genogroup I,Typhimurium,Confirmed; Confirmed,14,,
1982,1999,July,Florida,Prison/Jail,Multiple Foods,,Norovirus genogroup I,,Suspected,25,,
1984,1999,July,Florida,Restaurant,Other Food,,,,,3,,
1985,1999,July,Florida,Restaurant,"Fish Sandwich, Unspecified",,,,,2,,
1986,1999,July,Florida,Restaurant,"Beef, Chimichanga; Beef/Steak Taquitos",Beef; Beef,,,,3,0.0,0.0
1987,1999,July,Florida,Restaurant,"Oysters, Fried; Shrimp, Fried",,,,,2,0.0,0.0
1988,1999,July,Florida,Restaurant,"Fried Rice, Unspecified; Chicken, Bbq; Ribs, Beef",,Staphylococcus aureus,,Suspected,2,,
1989,1999,July,Florida,Restaurant,"Ground Beef, Hamburger; Ground Beef, Cheeseburger",,,,,4,,
1990,1999,July,Florida,Restaurant,"Cheese Sticks; Ground Beef, Hamburger",,,,,2,0.0,0.0
1991,1999,July,Florida,Restaurant,Lettuce-Based Salads Unspecified,,Norovirus genogroup I,,Suspected,5,0.0,0.0
1992,1999,July,Florida,Restaurant,"Ground Beef, Cheeseburger",,Staphylococcus aureus,,Suspected,2,,
1993,1999,July,Florida,Restaurant,Potato Salad,,Clostridium perfringens,,Suspected,4,0.0,0.0
1994,1999,July,Florida,Restaurant,"Sandwich, Chicken",,,,,2,0.0,0.0
1995,1999,July,Florida,Restaurant,"Sandwich, Submarine",,,,,3,0.0,0.0
1996,1999,July,Florida,Restaurant,"Fish, Catfish",,,,,5,0.0,0.0
1998,1999,July,Florida,Catering Service,,,Norovirus genogroup I,,Suspected,23,0.0,0.0
1999,1999,July,Florida,Restaurant,"Sandwich, Sausage",,,,,3,0.0,0.0
2000,1999,July,Florida,Restaurant,"Lasagna, Unspecified",,Bacillus cereus,,Suspected,2,0.0,0.0
2001,1999,July,Florida,,Popcorn,,Chemical or toxin,,Suspected,2,0.0,0.0
2002,1999,July,Florida,,"Chicken, Other",,Staphylococcus aureus,,Suspected,2,0.0,0.0
2003,1999,July,Georgia,Restaurant,"Rice, Yellow",,,,,3,0.0,0.0
2004,1999,July,Georgia,Restaurant,"Pork, Bbq",,Salmonella enterica,Typhimurium var Cope,Confirmed,16,3.0,0.0
2006,1999,July,Hawaii,Private Home/Residence,"Fish, Kole; Fish, Manini",Fin Fish,Ciguatoxin,,Confirmed,4,0.0,1.0
2007,1999,July,Illinois,Restaurant,"Fish, Wahoo",,Chemical or toxin,,Suspected,8,0.0,0.0
2008,1999,July,Illinois,Restaurant,Egg Rolls,,,,,5,,
2009,1999,July,Illinois,Restaurant,"Fish, Amberjack",,,,,21,1.0,0.0
2010,1999,July,Illinois,Restaurant,,,,,,4,0.0,0.0
2011,1999,July,Illinois,Restaurant,Egg Rolls,,,,,4,0.0,0.0
2012,1999,July,Illinois,,,,Salmonella enterica,Typhimurium,Confirmed,10,0.0,0.0
2013,1999,July,Indiana,Restaurant,"Pudding, Tapioca",,Salmonella enterica,Heidelberg,Confirmed,13,6.0,0.0
2014,1999,July,Maryland,Restaurant,,,,,,4,0.0,0.0
2015,1999,July,Maryland,,,,Salmonella enterica,Newport,Confirmed,23,1.0,0.0
2016,1999,July,Maryland,,,,,,,2,0.0,0.0
2018,1999,July,Maryland,Restaurant,,,,,,2,,
2021,1999,July,Maryland,Restaurant,"Sandwich, Chicken Parmesan",,Salmonella enterica,Enteritidis,Confirmed,3,,
2022,1999,July,Maryland,Restaurant,"Other Cheese, Unspecified; Omelette; Tomato, Unspecified",,,,,2,,
2025,1999,July,Massachusetts,Private Home/Residence,"Goat, Unspecified",,Salmonella enterica,Typhimurium,Confirmed,20,,
2028,1999,July,Michigan,,"Sandwich, Submarine",,,,,22,,
2029,1999,July,Michigan,Restaurant,,,,,,2,,
2030,1999,July,Michigan,Restaurant,Rice,,,,,6,,0.0
2031,1999,July,Michigan,School/College/University,,,,,,9,,
2032,1999,July,Minnesota,Restaurant,"Cheese, Unspecified",,Norovirus genogroup I,,Suspected,7,0.0,0.0
2033,1999,July,Minnesota,Catering Service,"Ground Beef, Meatballs",,Norovirus genogroup I,,Confirmed,9,0.0,0.0
2035,1999,July,Missouri,Grocery Store,,,,,,20,,
2036,1999,July,Multistate,Restaurant,"Cake, Tiramisu; Eggs, Other",,Salmonella enterica,Enteritidis,Confirmed,16,0.0,0.0
2037,1999,July,Multistate,Restaurant,Crab Cakes,,Salmonella enterica,Enteritidis,Confirmed,9,3.0,0.0
2038,1999,July,Multistate,Nursing Home/Assisted Living Facility,"Eggs, Other",,Salmonella enterica,Enteritidis,Confirmed,3,0.0,0.0
2039,1999,July,New Jersey,Restaurant,"Cake, Tiramisu",,Salmonella enterica,Unknown,Confirmed,16,0.0,0.0
2041,1999,July,New York,Restaurant,"Salsa, Unspecified",,,,,4,,
2042,1999,July,New York,Camp,,,Salmonella enterica,Typhimurium,Confirmed,13,,
2043,1999,July,New York,,,,,,,15,0.0,0.0
2044,1999,July,North Carolina,Restaurant,"Beef, Unspecified",,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,3,,
2045,1999,July,North Carolina,Camp,,,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,7,,
2048,1999,July,Ohio,Restaurant,,,Norovirus genogroup I,,Confirmed,6,,
2050,1999,July,Ohio,Restaurant,"Pizza, Unspecified",,,,,4,0.0,0.0
2051,1999,July,Ohio,Restaurant,,,Norovirus genogroup I,,Confirmed,18,,0.0
2053,1999,July,Ohio,Restaurant,Coleslaw,Leafy Green,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,18,11.0,
2054,1999,July,Ohio,,,,,,,6,0.0,0.0
2055,1999,July,Ohio,Private Home/Residence,"Beef, Unspecified",,,,,4,0.0,0.0
2056,1999,July,Ohio,Restaurant,Blue Cheese Dressing; Ranch Dressing,,,,,3,0.0,0.0
2057,1999,July,Oregon,Restaurant,"Roast Beef, Unspecified",,Clostridium perfringens,,Suspected,13,0.0,0.0
2061,1999,July,Pennsylvania,,,,Staphylococcus aureus,,Confirmed,3,,
2062,1999,July,Tennessee,Restaurant,"Pork, Unspecified",,,,,21,3.0,0.0
2063,1999,July,Tennessee,Private Home/Residence,"Ice Cream, Unspecified",,Salmonella enterica,Heidelberg,Confirmed,12,1.0,0.0
2066,1999,July,Texas,Restaurant,"Chicken, Unspecified",Chicken,Salmonella enterica,Javiana,Confirmed,7,7.0,0.0
2068,1999,July,Washington,Private Home/Residence,"Oysters, Unspecified",,Vibrio parahaemolyticus,,Suspected,3,,
2069,1999,July,Washington,Restaurant,"Potato, Mashed",,,,,3,0.0,
2070,1999,July,Washington,,"Eggs, Unspecified",,Salmonella enterica,Hadar,Confirmed,3,,
2071,1999,July,Washington,Restaurant,"Soup, Beef-Based",,,,,2,0.0,
2073,1999,July,Washington,Restaurant,"Eggs, Unspecified",,Salmonella enterica,,Suspected,2,,
2075,1999,July,Wisconsin,Nursing Home/Assisted Living Facility,"Eggs, Unspecified",Egg,Salmonella enterica,Enteritidis,Confirmed,4,0.0,0.0
2076,1999,July,Wisconsin,Nursing Home/Assisted Living Facility,"Eggs, Unspecified",Egg,Salmonella enterica,Enteritidis,Confirmed,5,3.0,0.0
2077,1999,August,Alabama,Restaurant,,,,,,2,0.0,0.0
2079,1999,August,Alabama,Restaurant,,,,,,3,0.0,0.0
2080,1999,August,Alabama,Restaurant,,,,,,4,0.0,0.0
2084,1999,August,California,Private Home/Residence,"Chicken, Unspecified",,Salmonella enterica,Hadar,Confirmed,11,0.0,0.0
2086,1999,August,California,Restaurant,,,Virus,,Suspected,11,0.0,0.0
2088,1999,August,California,Restaurant,,,,,,7,0.0,0.0
2089,1999,August,California,Restaurant,Potato Salad,,Virus,,Suspected,13,0.0,0.0
2090,1999,August,California,Restaurant,,,Staphylococcus aureus,,Suspected,12,0.0,0.0
2092,1999,August,Colorado,Catering Service,Chick Peas,,Clostridium perfringens,,Suspected,2,,
2093,1999,August,Colorado,Restaurant,"Rice Dishes, Unspecified; Stew/Chili, Unspecified",Rice,Clostridium perfringens,,Suspected,5,,
2094,1999,August,Connecticut,Restaurant,,,Salmonella enterica,Typhimurium,Confirmed,12,3.0,0.0
2095,1999,August,Florida,Restaurant,"Sandwich, Chicken",,,,,2,,
2096,1999,August,Florida,Restaurant,"Sandwich, Cuban",,,,,3,0.0,0.0
2097,1999,August,Florida,Restaurant,"Chicken, Buffalo Wings; Blue Cheese Dressing",,,,,2,0.0,0.0
2098,1999,August,Florida,Restaurant,"Potato, Baked",,Staphylococcus aureus,,Suspected,2,,
2099,1999,August,Florida,Restaurant,"Chicken, Buffalo Wings",,Bacillus cereus,,Confirmed,2,0.0,0.0
2100,1999,August,Florida,Restaurant,"Oysters, Raw",,Vibrio parahaemolyticus,,Suspected,3,,
2101,1999,August,Florida,Restaurant,Salad Bar,,,,,2,0.0,0.0
2102,1999,August,Florida,Private Home/Residence,"Stew/Chili, Other; Ground Beef, Hamburger",Beef; Beef,,,,19,1.0,0.0
2103,1999,August,Florida,Restaurant,"Refried Beans, Unspecified",,,,,2,,
2104,1999,August,Florida,Restaurant,"Ice Cream, Commercial",,Staphylococcus aureus,,Suspected,3,0.0,0.0
2105,1999,August,Florida,Private Home/Residence,"Fish, Baracuda",,Ciguatoxin,,Suspected,2,1.0,
2106,1999,August,Florida,Restaurant,"Chicken, Fried",,Staphylococcus aureus,,Suspected,2,1.0,0.0
2107,1999,August,Florida,,"Rice, Yellow; Fish, Catfish",,,,,2,,
2108,1999,August,Florida,Restaurant,"Chicken, Fried",,Bacillus cereus,,Suspected,2,,
2109,1999,August,Florida,Grocery Store,"Deli Meat, Sliced Ham; Deli Meat, Sliced Roast Beef; Deli Meat, Sliced Turkey",,Listeria monocytogenes,,Confirmed,2,2.0,1.0
2110,1999,August,Florida,Grocery Store,"Ground Beef, Sausage",,Staphylococcus aureus,,Suspected,3,0.0,0.0
2111,1999,August,Florida,Restaurant,"Sandwich, Submarine",,,,,2,0.0,0.0
2112,1999,August,Florida,Restaurant,"Salad, Unspecified",,Hepatitis A,,Confirmed,4,0.0,0.0
2113,1999,August,Florida,Restaurant,,,,,,3,0.0,0.0
2114,1999,August,Florida,Private Home/Residence,"Ground Beef, Unspecified",,"Escherichia coli, Shiga toxin-producing",O157:H7,Suspected,2,0.0,0.0
2115,1999,August,Florida,Restaurant,"Pizza, Unspecified",,,,,7,0.0,0.0
2117,1999,August,Hawaii,Private Home/Residence,"Poi, Unspecified",,Staphylococcus aureus,,Confirmed,11,0.0,0.0
2118,1999,August,Hawaii,Restaurant,"Oysters, Raw",,,,,12,0.0,0.0
2119,1999,August,Hawaii,Private Home/Residence,"Fish, Kole",Fin Fish,Ciguatoxin,,Confirmed,4,,
2120,1999,August,Illinois,Restaurant,"Taco, Beef",,,,,7,,
2121,1999,August,Illinois,Restaurant,,,,,,3,0.0,
2126,1999,August,Maryland,Restaurant,"Rice, Unspecified; Beans, Unspecified",,,,,2,0.0,0.0
2127,1999,August,Maryland,Restaurant,,,,,,4,0.0,0.0
2128,1999,August,Maryland,Restaurant,,,,,,2,0.0,0.0
2129,1999,August,Maryland,Restaurant,"Chicken, Fried",,,,,2,0.0,0.0
2130,1999,August,Maryland,Restaurant,,,,,,5,,
2131,1999,August,Maryland,Restaurant,,,,,,3,0.0,0.0
2132,1999,August,Maryland,Restaurant,"Steak, Prime Rib; Green Beans, Unspecified",,,,,2,,
2133,1999,August,Maryland,Restaurant; Private Home/Residence; Grocery Store,"Chicken, Other",Sauces/ Dressings,,,,4,0.0,0.0
2134,1999,August,Maryland,Restaurant,"Chicken, Nuggets/Fingers",,,,,3,,
2135,1999,August,Maryland,Restaurant,,,Norovirus genogroup II,Unknown,Confirmed,25,0.0,0.0
2136,1999,August,Maryland,Restaurant; Catering Service,,,Salmonella enterica,Braenderup,Confirmed,14,,0.0
